3,1,-6,-1,6,2,7770,4,4440,1021031040.0,6,1,11,2,-27,-11,7,1,777,3,444,105106107,6,1,6,0,0,0,0,0
3,1,-6,-1,6,2,7770,4,4440,1021031040.0,6,1,11,2,-27,-11,7,1,77770,5,44440,1051061070.0,6,1,6,0,0,0,0,0
3,1,-6,-1,6,2,77777700,8,44444400,108104103103104.0,6,1,11,2,-27,-11,7,1,77770,5,44440,1051061070.0,6,1,6,0,0,0,0,0
3,1,-6,-1,6,2,7777770,8,4444440,1082321090.0,6,2,-151770,6,646440,-11181104110.0,7,1,1,1,-2,-1,7,1,777,3,444,111124107,7,1
3,1,-6,-1,6,2,7777770,8,4444440,1082321090.0,6,2,-151770,6,646440,-11181104110.0,7,1,1,1,-2,-1,7,1,777,3,444,111124107,7,1
3,1,-6,-1,6,2,7777770,8,4444440,1082321090.0,6,2,-151770,6,646440,-11181104110.0,7,1,1,1,-2,-1,7,1,777,3,444,111124107,7,1
3,1,-6,-1,6,2,77770,5,44440,103102103114.0,6,1,11,2,-27,-11,7,1,777,3,444,105106107,6,1,6,0,0,0,0,0
5,1,-4,109,6,1,77770,5,44440,115116117118.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2,40,1190,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-31,2,-66,-11,6,2,70,2,40,1030,6,1,777777,6,444444,1.2010512112212312e+17,6,1,7017,3,-4064,-118011,6,1,70,2,40,1180,6,0
6,2,1070,4,6040,-101180,7,1,6,1,7,1,4,125,6,1,7,1,4,118,6,1,0,0,0,0,6,1,77,2
77770,5,44440,1311321330.0,6,1,77,2,44,147134,6,1,7777,4,4444,136128135136.0,6,1,77,2,44,129105,6,1,6,1,5,1,-4,150
6,1,770,3,440,1441370,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,4,135,6,1,-1757,4,-444,-11181091,6,1,770,3,440,0,6,1,6,1,-750770,6,440440,14510901146.0,7,0,0,0,0,0
-175,3,-844,-1147150,6,2,-1517770,7,8484440,-11091148149.0,6,1,7770,4,4440,1481500,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,4,-2997,-1111,7,1,6,1,6,1,770,3,440,1511520,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,-7,-1,7,1,6,1,777770,6,444440,153154155156157.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3777,4,6444,-1157153,6,1,1177,4,2744,-11158,7,1,770,3,440,1551070,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,-4,109,11,1,77770,5,44440,115116117118.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,3,2104,-10159,7,1,11,2,-29,-11,7,1,2,1,-6,-1,7,2,777,3,444,124135,7,2,12,2,-77771,5,44440,-160161124129.01
-1111,4,-10112,-1111,7,1,8,1,-9,0,13,1,70,2,40,1560,6,0,0,0,0,0,0,0,0,0,0,0,0,0
-11,2,-90,-11,6,1,2117,4,2604,-111159,7,1,11,2,-29,-11,7,1,2,1,-2,-1,7,2,777,3,444,124135,7,2
